Sample;X(ms) [22.03.2026 15:55:44 279 UTC];"Int_R_deseado[%MD70]";"Int_R_Real[%MD74]";"Int_G120[%MD58]";"Int_ST_FC11[%MD78]";"FT10_Int[%MD22]";"FT11_Int[%MD26]"
0;1774194944370,021712;0;-8388608;0;0;0;-9
1;1774194944470,016112;0;-8388608;63;0;0;-9
2;1774194944570,016608;0;-8388608;74;0;0;-9
3;1774194944670,025848;0;-8388608;81;0;0;-12
4;1774194944770,013848;0;-8388608;134;0;0;-12
5;1774194944870,020960;0;-8388608;123;0;0;-12
6;1774194944970,022568;0;-8388608;116;0;0;-14
7;1774194945070,039432;0;-8388608;159;0;0;-12
8;1774194945170,025912;0;-8388608;94;0;0;-12
9;1774194945270,027192;0;-8388608;97;0;0;-12
10;1774194945370,025368;0;-8388608;99;0;0;-9
11;1774194945470,025368;0;-8388608;52;0;0;-12
12;1774194945570,026600;0;-8388608;115;0;0;-12
13;1774194945670,027208;0;-8388608;111;0;0;-12
14;1774194945770,016600;0;-8388608;108;0;0;-12
15;1774194945870,016224;0;-8388608;107;0;0;-14
16;1774194945970,015688;0;-8388608;154;0;0;-14
17;1774194946070,015400;0;-8388608;138;0;0;-12
18;1774194946170,025752;0;-8388608;81;0;-9;-12
19;1774194946270,017232;0;1333;88;0;-9;-12
20;1774194946370,016184;0;1333;94;0;0;-12
21;1774194946470,016864;0;-8388608;97;0;0;-12
22;1774194946570,027040;0;-8388608;100;0;0;-12
23;1774194946670,022344;0;-8388608;101;0;0;-14
24;1774194946770,028912;0;-8388608;150;0;0;-14
25;1774194946870,027744;0;-8388608;137;0;0;0
26;1774194946970,025424;0;2143289344;0;0;0;0
27;1774194947070,026648;0;2143289344;0;0;0;-9
28;1774194947170,021944;0;-8388608;142;0;0;-9
29;1774194947270,021416;0;-8388608;128;0;0;-17
30;1774194947370,022536;0;-8388608;262;0;0;-17
31;1774194947470,027448;0;-8388608;213;0;0;-12
32;1774194947570,016864;0;-8388608;84;0;0;-12
33;1774194947670,021936;0;-8388608;92;0;0;-14
34;1774194947770,021376;0;-8388608;144;0;0;-14
35;1774194947870,014520;0;-8388608;133;0;0;-14
36;1774194947970,015712;0;-8388608;126;0;0;-12
37;1774194948070,015264;0;-8388608;73;0;0;-12
38;1774194948170,028376;0;-8388608;84;0;0;-12
39;1774194948270,123496;0;-8388608;92;0;0;-12
40;1774194948370,020976;0;-8388608;97;0;0;-12
41;1774194948470,021880;0;-8388608;100;0;0;-12
42;1774194948570,023184;0;-8388608;103;0;0;-12
43;1774194948670,015880;0;-8388608;104;0;0;-12
44;1774194948770,022048;0;-8388608;105;0;0;-14
45;1774194948870,025840;0;-8388608;154;0;0;-14
46;1774194948970,015912;0;-8388608;140;0;0;-12
47;1774194949070,014936;0;-8388608;83;0;0;-12
48;1774194949170,022040;0;-8388608;92;0;0;-12
49;1774194949270,175472;0;-8388608;97;0;0;-12
50;1774194949370,021728;0;-8388608;101;0;0;-12
51;1774194949470,015984;0;-8388608;104;0;0;-12
52;1774194949570,025512;0;-8388608;105;0;0;-12
53;1774194949670,021568;0;-8388608;106;0;0;-12
54;1774194949770,021344;0;-8388608;107;0;0;-9
55;1774194949870,021784;0;-8388608;60;0;0;-12
56;1774194949970,030480;0;-8388608;123;0;0;-12
57;1774194950070,014832;0;-8388608;118;0;0;-12
58;1774194950170,022672;0;-8388608;115;0;0;-12
59;1774194950270,016560;0;-8388608;113;0;0;-12
60;1774194950370,016272;0;-8388608;112;0;0;-12
61;1774194950470,022600;0;-8388608;111;0;0;-12
62;1774194950570,027928;0;-8388608;111;0;0;-14
63;1774194950670,023656;0;-8388608;159;0;0;-12
64;1774194950770,017272;0;-8388608;96;0;0;-12
65;1774194950870,017088;0;-8388608;101;0;0;-12
66;1774194950970,022080;0;-8388608;104;0;0;-12
67;1774194951070,016584;0;-8388608;107;0;0;-12
68;1774194951170,017320;0;-8388608;108;0;0;-12
69;1774194951270,016112;0;-8388608;109;0;0;-12
70;1774194951370,028840;0;-8388608;110;0;0;-12
71;1774194951470,017160;0;-8388608;110;0;0;-12
72;1774194951570,015104;0;-8388608;111;0;0;-12
73;1774194951670,016704;0;-8388608;111;0;0;-12
74;1774194951770,022296;0;-8388608;111;0;0;-14
75;1774194951870,025472;0;-8388608;160;0;0;-14
76;1774194951970,026432;0;-8388608;145;0;0;-12
77;1774194952070,025224;0;-8388608;88;0;0;-12
78;1774194952170,021896;0;-8388608;96;0;0;-12
79;1774194952270,015744;0;-8388608;102;0;0;-12
80;1774194952370,024520;0;-8388608;106;0;0;-14
81;1774194952470,021600;0;-8388608;156;0;0;-14
82;1774194952570,021416;0;-8388608;143;0;0;-9
83;1774194952670,024648;0;-8388608;39;0;0;-12
84;1774194952770,027376;0;-8388608;110;0;0;-12
85;1774194952870,023160;0;-8388608;111;0;0;-12
86;1774194952970,021184;0;-8388608;112;0;0;-14
87;1774194953070,027856;0;-8388608;161;0;0;-12
88;1774194953170,022792;0;-8388608;99;0;0;-12
89;1774194953270,024192;0;-8388608;104;0;0;-12
90;1774194953370,021944;0;-8388608;108;0;0;-12
91;1774194953470,021944;0;-8388608;110;0;0;-12
92;1774194953570,017096;0;-8388608;112;0;0;-12
93;1774194953670,026224;0;-8388608;113;0;0;-12
94;1774194953770,027736;0;-8388608;113;0;0;-12
95;1774194953870,059816;0;-8388608;114;0;0;-12
96;1774194953970,023344;0;-8388608;114;0;0;-14
97;1774194954070,021272;0;-8388608;163;0;0;-12
98;1774194954170,026832;0;-8388608;101;0;0;-12
99;1774194954270,024720;0;-8388608;106;0;0;-12
100;1774194954370,021944;0;-8388608;109;0;-6;-9
101;1774194954470,022824;0;1500;63;0;0;-12
102;1774194954570,016744;0;-8388608;127;0;0;-12
103;1774194954670,024168;0;-8388608;124;0;0;-12
104;1774194954770,021488;0;-8388608;121;0;0;-14
105;1774194954870,027792;0;-8388608;168;0;0;-12
106;1774194954970,022648;0;-8388608;104;0;0;-12
107;1774194955070,017224;0;-8388608;109;0;0;-12
108;1774194955170,026272;0;-8388608;111;0;0;-17
109;1774194955270,025552;0;-8388608;209;0;0;-14
110;1774194955370,023248;0;-8388608;134;0;0;-14
111;1774194955470,023608;0;-8388608;130;0;0;-20
112;1774194955570,013536;0;-8388608;224;0;0;-9
113;1774194955670,022976;0;-8388608;1;0;0;-12
114;1774194955770,022208;0;-8388608;87;0;0;-12
115;1774194955870,015352;0;-8388608;98;0;0;-9
116;1774194955970,027872;0;-8388608;57;0;0;-12
117;1774194956070,016192;0;-8388608;124;0;0;-12
118;1774194956170,036816;0;-8388608;122;0;0;-12
119;1774194956270,028456;0;-8388608;121;0;0;-14
120;1774194956370,026056;0;-8388608;168;0;0;-12
121;1774194956470,016464;0;-8388608;106;0;0;-12
122;1774194956570,017040;0;-8388608;110;0;0;-12
123;1774194956670,027648;0;-8388608;113;0;0;-12
124;1774194956770,021624;0;-8388608;115;0;0;-12
125;1774194956870,022152;0;-8388608;117;0;0;-12
126;1774194956970,023296;0;-8388608;118;0;0;-12
127;1774194957070,017112;0;-8388608;119;0;0;-12
128;1774194957170,017200;0;-8388608;119;0;0;-12
129;1774194957270,016144;0;-8388608;120;0;0;-14
130;1774194957370,025312;0;-8388608;168;0;0;-12
131;1774194957470,015568;0;-8388608;106;0;0;-12
132;1774194957570,015960;0;-8388608;111;0;0;-12
133;1774194957670,016392;0;-8388608;114;0;0;-12
134;1774194957770,026360;0;-8388608;117;0;0;-12
135;1774194957870,016872;0;-8388608;118;0;0;-12
136;1774194957970,053032;0;-8388608;119;0;0;-12
137;1774194958070,023408;0;-8388608;120;0;0;-14
138;1774194958170,016296;0;-8388608;169;0;0;-17
139;1774194958270,017048;0;-8388608;203;0;0;-17
140;1774194958370,016304;0;-8388608;179;0;0;-9
141;1774194958470,017096;0;-8388608;19;0;0;-6
142;1774194958570,026032;0;-8388608;4;0;0;-12
143;1774194958670,025808;0;-8388608;137;0;0;-12
144;1774194958770,016000;0;-8388608;132;0;0;-12
145;1774194958870,027400;0;-8388608;129;0;0;-12
146;1774194958970,022160;0;-8388608;127;0;0;-12
147;1774194959070,022552;0;-8388608;126;0;0;-14
148;1774194959170,016440;0;-8388608;173;0;0;-14
149;1774194959270,014512;0;-8388608;158;0;0;-14
150;1774194959370,016832;0;-8388608;148;0;0;-14
151;1774194959470,021288;0;-8388608;142;0;0;-12
152;1774194959570,029384;0;-8388608;90;0;0;-12
153;1774194959670,029968;0;-8388608;101;0;0;-12
154;1774194959770,023616;0;-8388608;109;0;0;-12
155;1774194959870,016944;0;-8388608;114;0;0;-12
156;1774194959970,028024;0;-8388608;118;0;0;-12
157;1774194960070,016336;0;-8388608;120;0;0;-12
158;1774194960170,016984;0;-8388608;122;0;-3;-12
159;1774194960270,015864;0;4000;123;0;0;-14
160;1774194960370,025200;0;-8388608;172;0;0;-14
161;1774194960470,025728;0;-8388608;158;0;0;-14
162;1774194960570,038000;0;-8388608;149;0;0;-12
163;1774194960670,024680;0;-8388608;95;0;0;-12
164;1774194960770,022120;0;-8388608;105;0;0;-9
165;1774194960870,016896;0;-8388608;64;0;0;-9
166;1774194960970,014912;0;-8388608;83;0;0;-14
167;1774194961070,015320;0;-8388608;192;0;0;-14
168;1774194961170,014144;0;-8388608;172;0;0;-9
169;1774194961270,023744;0;-8388608;62;0;0;-9
170;1774194961370,029064;0;-8388608;82;0;0;-14
171;1774194961470,014704;0;-8388608;191;0;0;-14
172;1774194961570,017056;0;-8388608;171;0;0;-12
173;1774194961670,026432;0;-8388608;110;0;0;-12
174;1774194961770,021848;0;-8388608;116;0;0;-12
175;1774194961870,015912;0;-8388608;120;0;0;-12
176;1774194961970,027992;0;-8388608;122;0;0;-12
177;1774194962070,020912;0;-8388608;124;0;0;-12
178;1774194962170,016360;0;-8388608;125;0;0;-12
179;1774194962270,030184;0;-8388608;126;0;0;-12
180;1774194962370,026568;0;-8388608;127;0;0;-14
181;1774194962470,017240;0;-8388608;175;0;0;-12
182;1774194962570,028080;0;-8388608;113;0;0;-12
183;1774194962670,026496;0;-8388608;119;0;0;-12
184;1774194962770,026824;0;-8388608;122;0;0;-12
185;1774194962870,029904;0;-8388608;124;0;-3;-12
186;1774194962970,026120;0;4000;126;0;0;-12
187;1774194963070,015896;0;-8388608;127;0;0;-12
188;1774194963170,026456;0;-8388608;128;0;0;-12
189;1774194963270,016176;0;-8388608;128;0;0;-14
190;1774194963370,021720;0;-8388608;177;0;0;-14
191;1774194963470,025656;0;-8388608;163;0;0;-14
192;1774194963570,014616;0;-8388608;154;0;0;0
193;1774194963670,015920;0;2143289344;0;0;0;-9
194;1774194963770,022104;0;-8388608;119;0;0;-9
195;1774194963870,024504;0;-8388608;121;0;0;-9
196;1774194963970,029768;0;-8388608;123;0;0;-12
197;1774194964070,038840;0;-8388608;172;0;0;-12
198;1774194964170,022840;0;-8388608;158;0;0;-12
199;1774194964270,023160;0;-8388608;149;0;0;-12
200;1774194964370,029216;0;-8388608;143;0;0;-14
201;1774194964470,025112;250;-8388608;187;0;0;-14
202;1774194964570,022784;250;-8388608;170;0;0;-12
203;1774194964670,021112;250;-8388608;111;0;0;-12
204;1774194964770,026144;250;-8388608;118;0;0;-12
205;1774194964870,027528;250;-8388608;122;0;0;-12
206;1774194964970,015256;250;-8388608;126;0;0;-12
207;1774194965070,015264;250;-8388608;128;0;0;-12
208;1774194965170,101496;250;-8388608;129;0;0;-12
209;1774194965270,015152;250;-8388608;130;0;0;-12
210;1774194965370,016104;250;-8388608;131;0;0;-12
211;1774194965470,017336;250;-8388608;132;0;0;-12
212;1774194965570,025104;250;-8388608;132;0;0;-12
213;1774194965670,020880;250;-8388608;132;0;0;-14
214;1774194965770,021832;250;-8388608;181;0;0;-14
215;1774194965870,021984;250;-8388608;166;0;0;-14
216;1774194965970,021304;250;-8388608;157;0;0;-12
217;1774194966070,016448;250;-8388608;103;0;0;-12
218;1774194966170,016640;250;-8388608;113;0;0;-12
219;1774194966270,025936;250;-8388608;120;0;0;-12
220;1774194966370,017256;250;-8388608;125;0;0;-20
221;1774194966470,044936;250;-8388608;272;0;0;-12
222;1774194966570,017104;250;-8388608;87;0;0;-17
223;1774194966670,024680;250;-8388608;199;0;0;-12
224;1774194966770,026424;250;-8388608;85;0;0;-12
225;1774194966870,016752;250;-8388608;102;0;0;-12
226;1774194966970,027928;250;-8388608;113;0;0;-12
227;1774194967070,029512;250;-8388608;121;0;0;-12
228;1774194967170,016224;250;-8388608;126;0;0;-12
229;1774194967270,015984;250;-8388608;129;0;0;-12
230;1774194967370,021656;250;-8388608;131;0;0;-12
231;1774194967470,022840;250;-8388608;133;0;0;-12
232;1774194967570,021160;250;-8388608;134;0;0;-12
233;1774194967670,015024;250;-8388608;135;0;0;-12
234;1774194967770,026792;250;-8388608;135;0;0;-12
235;1774194967870,015192;250;-8388608;136;0;0;-12
236;1774194967970,020976;250;-8388608;136;0;0;-12
237;1774194968070,014720;250;-8388608;136;0;0;-14
238;1774194968170,016120;250;-8388608;184;0;-3;-12
239;1774194968270,022856;250;4000;121;-1;0;-12
240;1774194968370,023112;250;-8388608;127;0;0;-12
241;1774194968470,031160;250;-8388608;131;0;0;-12
242;1774194968570,016376;250;-8388608;133;0;0;-12
243;1774194968670,024368;250;-8388608;135;0;0;-12
244;1774194968770,015968;250;-8388608;136;0;0;-14
245;1774194968870,023328;250;-8388608;184;0;0;-14
246;1774194968970,015512;250;-8388608;171;0;0;-12
247;1774194969070,014480;250;-8388608;113;0;0;-6
248;1774194969170,016792;250;-8388608;26;0;0;-12
249;1774194969270,021992;250;-8388608;156;0;0;-12
250;1774194969370,028840;250;-8388608;150;0;0;-12
251;1774194969470,020928;250;-8388608;146;0;0;-9
252;1774194969570,016856;250;-8388608;96;0;0;-12
253;1774194969670,021784;250;-8388608;157;0;0;-12
254;1774194969770,024520;250;-8388608;151;0;0;-12
