Sample;X(ms) [22.03.2026 17:05:56 100 UTC];"Int_PT10[%MD98]";"Int_FC10[%MD102]";"Int_EV11_CO[%MD106]";"FT10_Int[%MD22]";"PT10_Int[%MD30]"
0;1774199156170,105552;0;0;0;0;713
1;1774199156270,107720;0;0;0;0;713
2;1774199156370,118208;0;0;0;0;713
3;1774199156470,118264;0;0;0;0;713
4;1774199156570,109232;0;0;0;0;693
5;1774199156670,119384;0;0;0;0;693
6;1774199156770,112776;0;0;0;0;693
7;1774199156870,123264;0;0;0;0;693
8;1774199156970,107096;0;0;0;0;713
9;1774199157070,120584;0;0;0;0;713
10;1774199157170,121536;0;0;0;9;713
11;1774199157270,117384;0;0;0;0;713
12;1774199157370,105480;0;0;0;0;713
13;1774199157470,127592;0;0;0;0;713
14;1774199157570,122272;0;0;0;0;713
15;1774199157670,108192;0;0;0;0;693
16;1774199157770,112168;0;0;0;0;713
17;1774199157870,123616;0;0;0;0;713
18;1774199157970,112424;0;0;0;0;713
19;1774199158070,119080;0;0;0;0;713
20;1774199158170,117824;0;0;0;0;713
21;1774199158270,373496;0;0;0;0;713
22;1774199158370,123784;0;0;0;0;713
23;1774199158470,109856;0;0;0;0;693
24;1774199158570,112104;0;0;0;0;693
25;1774199158670,125800;0;0;0;0;693
26;1774199158770,117320;0;0;0;0;693
27;1774199158870,106496;0;0;0;0;713
28;1774199158970,111672;0;0;0;0;713
29;1774199159070,105880;0;0;0;0;733
30;1774199159170,106016;0;0;0;0;733
31;1774199159270,119192;0;0;0;0;713
32;1774199159370,107912;0;0;0;0;713
33;1774199159470,118024;0;0;0;0;713
34;1774199159570,123872;0;0;0;0;713
35;1774199159670,117376;0;0;0;0;713
36;1774199159770,111824;0;0;0;0;693
37;1774199159870,118688;0;0;0;0;693
38;1774199159970,121384;0;0;0;0;693
39;1774199160070,124664;0;0;0;0;693
40;1774199160170,126048;0;0;0;0;713
41;1774199160270,117328;0;0;0;0;713
42;1774199160370,110064;0;0;0;0;713
43;1774199160470,122464;0;0;0;0;713
44;1774199160570,108016;0;0;0;0;713
45;1774199160670,112576;0;0;0;0;713
46;1774199160770,122664;0;0;0;0;713
47;1774199160870,117456;0;0;0;0;713
48;1774199160970,105928;0;0;0;0;713
49;1774199161070,110000;0;0;0;0;713
50;1774199161170,106024;0;0;0;0;713
51;1774199161270,118840;0;0;0;0;713
52;1774199161370,119536;0;0;0;0;713
53;1774199161470,120824;0;0;0;0;713
54;1774199161570,112384;0;0;0;0;713
55;1774199161670,109200;0;0;0;0;713
56;1774199161770,123048;0;0;0;0;713
57;1774199161870,109528;0;0;0;0;792
58;1774199161970,120536;0;0;0;0;693
59;1774199162070,118120;0;0;0;0;693
60;1774199162170,105720;0;450;0;0;693
61;1774199162270,117880;0;450;0;0;713
62;1774199162370,110080;0;0;0;0;713
63;1774199162470,118784;0;0;0;0;713
64;1774199162570,117536;0;0;0;0;713
65;1774199162670,118152;0;0;0;0;713
66;1774199162770,117608;0;0;0;-3;693
67;1774199162870,126184;0;0;0;-3;713
68;1774199162970,106232;0;0;0;0;713
69;1774199163070,121984;0;0;0;0;713
70;1774199163170,113080;0;0;0;0;713
71;1774199163270,124448;50000;0;0;0;713
72;1774199163370,117976;50000;30000;0;0;713
73;1774199163470,106816;50000;30000;0;0;713
74;1774199163570,133056;50000;30000;0;0;713
75;1774199163670,106112;50000;30000;0;0;713
76;1774199163770,117320;50000;30000;0;0;713
77;1774199163870,105144;50000;30000;0;0;693
78;1774199163970,287840;50000;30000;0;0;713
79;1774199164070,108792;50000;30000;0;0;713
80;1774199164170,117416;50000;30000;0;0;713
81;1774199164270,123928;50000;30000;0;0;713
82;1774199164370,120216;50000;30000;0;0;713
83;1774199164470,120616;50000;30000;0;0;713
